,segment_id,segmentation_name,start_ts,end_ts,duration_ts
0,1,audio-tempo-segmentation,00:00:00:00,00:00:01:42,00:00:01:41
1,2,audio-tempo-segmentation,00:00:01:42,00:01:09:54,00:01:08:12
2,3,audio-tempo-segmentation,00:01:09:54,00:01:17:00,00:00:07:45
3,4,audio-tempo-segmentation,00:01:17:00,00:02:03:11,00:00:46:10
4,5,audio-tempo-segmentation,00:02:03:11,00:02:11:26,00:00:08:14
5,6,audio-tempo-segmentation,00:02:11:26,00:02:37:24,00:00:25:98
