,segment_id,segmentation_name,start_ts,end_ts,duration_ts
0,1,audio-chord-segmentation,00:00:00:00,00:00:07:00,00:00:07:00
1,2,audio-chord-segmentation,00:00:07:00,00:00:43:00,00:00:36:00
2,3,audio-chord-segmentation,00:00:43:00,00:00:53:50,00:00:10:50
3,4,audio-chord-segmentation,00:00:53:50,00:01:06:00,00:00:12:50
4,5,audio-chord-segmentation,00:01:06:00,00:02:22:50,00:01:16:50
5,6,audio-chord-segmentation,00:02:22:50,00:02:37:50,00:00:15:00
