ID,time_ms,timestamp,luminance,a,b,chroma,hue
0,0.0,00:00:00,0.0,0.0,0.0,0.0,0.0
1,1001.0,00:00:01,0.10723876953125,0.00036144256591796875,0.0001697540283203125,0.00023365158995147794,25.15083122253418
2,2002.0,00:00:02,0.97705078125,0.94287109375,-0.94775390625,0.738547682762146,314.84600830078125
3,3003.0,00:00:03,1.0205078125,0.94287109375,-0.94775390625,0.738547682762146,314.84600830078125
4,4004.0,00:00:04,1.0126953125,0.94287109375,-0.94775390625,0.738547682762146,314.84600830078125
5,5005.0,00:00:05,0.75732421875,0.9443359375,-0.94873046875,0.7396265864372253,314.8739929199219
6,6006.0,00:00:06,0.45458984375,0.935546875,-0.92626953125,0.7272185683250427,315.29364013671875
7,7007.0,00:00:07,1.091796875,1.806640625,-0.54638671875,1.0428141355514526,343.1721496582031
8,8008.0,00:00:08,1.9833984375,2.3046875,-0.052093505859375,1.2731720209121704,358.7052001953125
9,9009.0,00:00:09,2.029296875,2.306640625,-0.02911376953125,1.2742509841918945,359.2769775390625
10,10010.0,00:00:10,2.01953125,2.25390625,-0.031097412109375,1.2451190948486328,359.20965576171875
11,11011.0,00:00:11,1.2451171875,1.2041015625,-0.30859375,0.6867576241493225,345.6201171875
12,12012.0,00:00:12,0.44677734375,0.93896484375,-0.94091796875,0.7342318296432495,314.929931640625
13,13013.0,00:00:13,56.53125,-1.283203125,-4.484375,2.576554775238037,254.0251922607422
14,14014.0,00:00:14,95.6875,-4.4921875,-4.58984375,3.5476181507110596,225.6011199951172
15,15015.0,00:00:15,95.75,-4.50390625,-4.58203125,3.549776077270508,225.4892120361328
16,16016.0,00:00:16,95.75,-4.5,-4.58984375,3.549776077270508,225.6011199951172
17,17017.0,00:00:17,95.75,-4.5,-4.58984375,3.549776077270508,225.6011199951172
18,18018.0,00:00:18,95.75,-4.5,-4.58984375,3.549776077270508,225.6011199951172
19,19019.0,00:00:19,62.5,-1.923828125,-4.45703125,2.682292938232422,246.639404296875
20,20020.0,00:00:20,8.0625,1.083984375,-2.294921875,1.4015681743621826,295.2624816894531
21,21021.0,00:00:21,0.1768798828125,0.9375,-0.9423828125,0.7342318296432495,314.84600830078125
22,22022.0,00:00:22,5.84721565246582e-05,0.00031828880310058594,-0.00039315223693847656,0.00026973983040079474,308.9989318847656
23,23023.0,00:00:23,0.0,0.0,0.0,0.0,0.0
24,24024.0,00:00:24,0.0,0.0,0.0,0.0,0.0
25,25025.0,00:00:25,2.158203125,0.0,0.0,0.0,0.0
26,26026.0,00:00:26,9.125,0.09375,0.046875,0.05789291113615036,26.563642501831055
27,27027.0,00:00:27,21.734375,0.39501953125,0.306396484375,0.2760787308216095,37.79618835449219
28,28028.0,00:00:28,35.90625,0.6240234375,0.880859375,0.5961250066757202,54.693965911865234
29,29029.0,00:00:29,49.21875,0.52001953125,2.14453125,1.219223976135254,76.37571716308594
30,30030.0,00:00:30,61.65625,0.62890625,3.26171875,1.8353098630905151,79.06145477294922
31,31031.0,00:00:31,73.0625,0.38720703125,4.9765625,2.7578201293945312,85.55199432373047
32,32032.0,00:00:32,82.375,0.904296875,6.1171875,3.415985107421875,81.57933807373047
33,33033.0,00:00:33,89.0,0.81884765625,8.2734375,4.592051029205322,84.32102966308594
34,34034.0,00:00:34,91.125,1.208984375,9.625,5.360270023345947,82.86625671386719
