,segment_id,segmentation_name,start_ts,end_ts,duration_ts
0,1,audio-chroma-segmentation,00:00:00:00,00:00:06:50,00:00:06:50
1,2,audio-chroma-segmentation,00:00:06:50,00:00:40:79,00:00:34:28
2,3,audio-chroma-segmentation,00:00:40:79,00:01:00:79,00:00:20:00
3,4,audio-chroma-segmentation,00:01:00:79,00:01:03:79,00:00:03:00
4,5,audio-chroma-segmentation,00:01:03:79,00:02:23:40,00:01:19:61
5,6,audio-chroma-segmentation,00:02:23:40,00:02:37:30,00:00:13:90
