,segment_id,segmentation_name,start_ts,end_ts,duration_ts
0,1,audio-tempo-segmentation,00:00:00:00,00:00:06:64,00:00:06:63
1,2,audio-tempo-segmentation,00:00:06:64,00:00:24:74,00:00:18:09
2,3,audio-tempo-segmentation,00:00:24:74,00:00:49:42,00:00:24:68
3,4,audio-tempo-segmentation,00:00:49:42,00:01:25:72,00:00:36:29
4,5,audio-tempo-segmentation,00:01:25:72,00:01:31:14,00:00:05:42
5,6,audio-tempo-segmentation,00:01:31:14,00:02:00:02,00:00:28:87
