,segment_id,segmentation_name,start_ts,end_ts,duration_ts
0,1,audio-Power-segmentation,00:00:00:00,00:00:00:00,00:00:00:00
1,2,audio-Power-segmentation,00:00:00:00,00:00:00:01,00:00:00:01
2,3,audio-Power-segmentation,00:00:00:01,00:00:00:02,00:00:00:01
3,4,audio-Power-segmentation,00:00:00:02,00:00:00:03,00:00:00:00
4,5,audio-Power-segmentation,00:00:00:03,00:00:00:04,00:00:00:01
5,6,audio-Power-segmentation,00:00:00:04,00:00:00:04,00:00:00:00
